Vardas      Pavarde     ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      Egz.      
Vardas1     Pavarde1    9         4         9         3         3         7         9         9         9         7         4         
Vardas2     Pavarde2    1         3         4         1         5         7         10        5         3         3         4         
Vardas3     Pavarde3    2         2         5         8         2         9         3         3         8         2         0         
Vardas4     Pavarde4    8         3         3         4         10        6         6         1         6         7         8         
Vardas5     Pavarde5    5         5         4         0         2         4         3         3         4         7         1         
Vardas6     Pavarde6    6         6         5         9         1         8         5         2         6         4         7         
Vardas7     Pavarde7    6         7         8         6         7         4         8         2         3         7         5         
Vardas8     Pavarde8    9         0         10        9         9         1         5         10        3         9         3         
Vardas9     Pavarde9    2         5         3         5         1         8         0         0         9         10        3         
Vardas10    Pavarde10   0         10        4         1         6         3         8         1         2         10        8         
Vardas11    Pavarde11   0         10        5         1         0         9         10        10        10        3         4         
Vardas12    Pavarde12   2         5         2         10        8         9         6         0         10        9         5         
Vardas13    Pavarde13   9         3         2         8         6         5         0         2         2         6         0         
Vardas14    Pavarde14   4         0         2         2         6         6         10        5         6         0         9         
Vardas15    Pavarde15   6         6         9         7         4         10        8         8         0         4         8         
Vardas16    Pavarde16   3         5         9         2         6         4         7         7         9         5         8         
Vardas17    Pavarde17   3         0         1         1         8         9         8         6         10        5         9         
Vardas18    Pavarde18   5         10        0         0         1         4         8         0         5         3         6         
Vardas19    Pavarde19   1         6         8         2         6         2         9         8         9         4         3         
Vardas20    Pavarde20   9         1         6         8         5         3         0         1         1         9         10        
Vardas21    Pavarde21   9         3         9         8         10        2         8         9         1         4         5         
Vardas22    Pavarde22   3         8         1         2         6         3         2         8         0         9         8         
Vardas23    Pavarde23   4         0         3         3         7         3         3         2         4         5         10        
Vardas24    Pavarde24   4         3         3         5         0         10        10        6         10        3         3         
Vardas25    Pavarde25   1         6         2         8         10        9         9         8         8         2         8         
Vardas26    Pavarde26   2         5         5         10        8         5         9         4         10        5         9         
Vardas27    Pavarde27   2         0         10        3         1         5         0         7         10        8         9         
Vardas28    Pavarde28   5         6         5         4         4         6         3         8         5         5         10        
Vardas29    Pavarde29   1         8         2         1         0         7         0         3         8         6         6         
Vardas30    Pavarde30   1         7         3         2         7         0         1         9         8         1         4         
Vardas31    Pavarde31   7         4         9         9         10        2         7         3         2         7         4         
Vardas32    Pavarde32   3         8         7         0         2         8         2         0         5         4         6         
Vardas33    Pavarde33   3         4         3         9         10        9         9         0         8         2         1         
Vardas34    Pavarde34   7         6         2         7         0         1         10        5         9         9         3         
Vardas35    Pavarde35   3         10        0         9         3         5         6         8         2         3         1         
Vardas36    Pavarde36   7         7         9         1         7         9         3         7         8         5         9         
Vardas37    Pavarde37   9         4         3         8         0         4         4         6         6         9         6         
Vardas38    Pavarde38   7         10        7         4         4         6         4         6         9         7         10        
Vardas39    Pavarde39   9         8         9         1         1         1         9         2         9         8         8         
Vardas40    Pavarde40   9         0         9         7         2         10        0         2         3         6         3         
Vardas41    Pavarde41   0         0         2         2         3         8         3         9         2         6         6         
Vardas42    Pavarde42   2         4         3         7         9         2         5         5         7         5         7         
Vardas43    Pavarde43   9         1         10        5         5         10        7         2         7         0         4         
Vardas44    Pavarde44   3         10        0         7         10        4         8         2         5         0         10        
Vardas45    Pavarde45   2         0         5         8         6         0         6         10        2         2         4         
Vardas46    Pavarde46   2         3         9         7         3         6         9         0         0         0         1         
Vardas47    Pavarde47   1         0         0         6         2         7         10        0         1         1         3         
Vardas48    Pavarde48   4         2         8         6         8         9         8         10        0         9         0         
Vardas49    Pavarde49   5         9         4         6         7         0         6         3         0         9         5         
Vardas50    Pavarde50   8         3         10        0         8         8         7         4         3         9         7         
Vardas51    Pavarde51   10        10        4         4         2         1         9         6         6         10        8         
Vardas52    Pavarde52   2         6         3         7         5         0         8         6         4         1         10        
Vardas53    Pavarde53   7         9         9         9         8         8         5         4         2         10        9         
Vardas54    Pavarde54   9         5         2         5         7         10        6         2         2         10        5         
Vardas55    Pavarde55   4         5         2         8         8         0         5         2         10        0         0         
Vardas56    Pavarde56   10        3         8         4         9         2         5         4         7         4         2         
Vardas57    Pavarde57   8         10        4         2         2         8         3         1         2         9         4         
Vardas58    Pavarde58   6         10        0         8         5         8         6         5         7         4         0         
Vardas59    Pavarde59   7         10        8         7         8         1         6         2         2         4         6         
Vardas60    Pavarde60   2         10        2         6         10        1         7         2         9         2         3         
Vardas61    Pavarde61   4         1         9         5         1         1         5         5         8         9         2         
Vardas62    Pavarde62   0         0         8         2         4         9         2         6         9         10        8         
Vardas63    Pavarde63   1         1         1         0         7         7         2         10        8         8         1         
Vardas64    Pavarde64   1         6         6         0         2         5         0         1         6         7         3         
Vardas65    Pavarde65   2         2         1         2         1         1         2         4         3         3         9         
Vardas66    Pavarde66   10        5         1         5         9         6         8         1         4         8         3         
Vardas67    Pavarde67   2         3         8         7         8         8         2         1         6         7         9         
Vardas68    Pavarde68   7         4         5         4         8         5         3         5         1         3         1         
Vardas69    Pavarde69   8         3         0         10        8         0         7         9         7         8         6         
Vardas70    Pavarde70   0         5         0         5         8         0         7         2         5         6         5         
Vardas71    Pavarde71   8         10        9         0         2         2         9         9         7         10        9         
Vardas72    Pavarde72   8         6         1         0         6         10        1         4         0         5         2         
Vardas73    Pavarde73   9         4         0         3         3         7         6         1         6         5         4         
Vardas74    Pavarde74   8         3         8         10        8         10        1         7         6         4         8         
Vardas75    Pavarde75   8         6         6         3         8         9         4         4         2         3         7         
Vardas76    Pavarde76   4         3         10        9         2         4         7         8         0         9         9         
Vardas77    Pavarde77   7         9         8         6         4         6         2         3         2         9         2         
Vardas78    Pavarde78   7         9         4         0         8         9         6         0         1         7         4         
Vardas79    Pavarde79   1         9         5         10        9         3         5         3         6         10        9         
Vardas80    Pavarde80   5         1         9         6         0         2         10        1         3         3         1         
Vardas81    Pavarde81   9         6         10        0         5         1         6         6         7         2         6         
Vardas82    Pavarde82   2         10        2         4         5         1         10        5         5         8         9         
Vardas83    Pavarde83   9         10        8         6         9         3         9         9         8         7         0         
Vardas84    Pavarde84   4         1         10        4         8         5         10        2         2         1         8         
Vardas85    Pavarde85   9         9         8         4         2         0         5         10        0         2         3         
Vardas86    Pavarde86   7         8         0         7         10        0         2         6         1         1         9         
Vardas87    Pavarde87   9         5         10        3         1         2         1         6         2         6         0         
Vardas88    Pavarde88   4         4         2         1         6         10        4         7         10        9         1         
Vardas89    Pavarde89   8         7         4         2         3         1         0         8         7         7         4         
Vardas90    Pavarde90   8         4         8         2         0         7         1         8         9         10        8         
Vardas91    Pavarde91   8         7         0         9         2         2         3         6         10        8         0         
Vardas92    Pavarde92   5         9         6         3         4         4         10        5         9         6         3         
Vardas93    Pavarde93   0         0         8         1         9         7         7         5         3         9         8         
Vardas94    Pavarde94   5         7         0         2         10        8         7         5         4         10        10        
Vardas95    Pavarde95   1         2         8         10        4         9         10        4         8         10        0         
Vardas96    Pavarde96   3         0         9         10        5         4         6         8         8         2         3         
Vardas97    Pavarde97   9         7         6         8         8         8         4         3         10        4         7         
Vardas98    Pavarde98   7         1         9         6         4         7         8         5         9         6         7         
Vardas99    Pavarde99   1         8         7         8         0         3         7         5         5         5         3         
Vardas100   Pavarde100  10        6         10        8         7         3         8         0         3         0         3         
Vardas101   Pavarde101  10        5         5         5         10        8         5         5         9         6         0         
Vardas102   Pavarde102  10        2         5         5         5         8         2         8         2         8         7         
Vardas103   Pavarde103  7         1         6         3         2         10        6         2         10        5         7         
Vardas104   Pavarde104  8         9         9         7         1         8         9         10        4         1         3         
Vardas105   Pavarde105  4         5         8         4         4         4         9         8         9         2         1         
Vardas106   Pavarde106  6         8         5         1         6         8         9         5         10        9         2         
Vardas107   Pavarde107  8         9         8         10        4         1         10        6         10        8         4         
Vardas108   Pavarde108  9         6         1         0         1         5         10        5         7         0         4         
Vardas109   Pavarde109  10        2         6         6         8         9         8         7         10        2         4         
Vardas110   Pavarde110  0         1         1         9         9         10        6         4         1         8         3         
Vardas111   Pavarde111  6         9         2         1         10        6         0         5         3         6         6         
Vardas112   Pavarde112  9         2         7         6         3         2         2         2         4         0         4         
Vardas113   Pavarde113  6         10        7         10        10        3         2         7         7         5         3         
Vardas114   Pavarde114  3         1         8         4         4         4         9         0         0         2         4         
Vardas115   Pavarde115  10        0         5         10        5         4         2         2         6         1         0         
Vardas116   Pavarde116  5         8         8         10        3         9         1         8         1         3         2         
Vardas117   Pavarde117  3         10        2         7         8         8         8         3         4         2         6         
Vardas118   Pavarde118  3         5         9         6         3         2         4         6         2         4         1         
Vardas119   Pavarde119  1         8         9         6         5         6         10        0         8         3         0         
Vardas120   Pavarde120  2         2         9         0         1         3         0         4         7         8         4         
Vardas121   Pavarde121  7         2         4         4         6         9         5         2         2         2         2         
Vardas122   Pavarde122  9         8         0         0         10        9         2         7         7         6         5         
Vardas123   Pavarde123  6         1         5         4         2         4         9         4         7         4         9         
Vardas124   Pavarde124  3         5         6         5         4         2         8         5         5         1         4         
Vardas125   Pavarde125  4         7         1         3         5         6         8         9         3         9         0         
Vardas126   Pavarde126  3         8         9         8         10        10        9         2         1         2         3         
Vardas127   Pavarde127  1         9         2         0         7         3         8         2         10        1         7         
Vardas128   Pavarde128  8         10        5         2         4         4         8         3         1         4         6         
Vardas129   Pavarde129  2         6         3         3         2         9         1         4         7         9         2         
Vardas130   Pavarde130  10        1         9         3         1         9         4         5         8         5         4         
Vardas131   Pavarde131  7         10        0         8         5         5         8         7         0         4         4         
Vardas132   Pavarde132  5         4         7         8         1         9         5         1         2         8         5         
Vardas133   Pavarde133  2         0         3         3         2         5         8         9         6         0         0         
Vardas134   Pavarde134  2         3         1         2         6         1         4         8         2         5         10        
Vardas135   Pavarde135  7         6         2         4         5         0         2         1         8         9         8         
Vardas136   Pavarde136  10        7         9         7         7         3         10        8         10        5         5         
Vardas137   Pavarde137  10        7         7         9         3         10        6         7         0         7         2         
Vardas138   Pavarde138  9         5         9         0         0         3         2         8         4         10        7         
Vardas139   Pavarde139  9         5         7         6         7         0         9         7         3         1         3         
Vardas140   Pavarde140  1         6         6         4         7         10        9         2         2         0         8         
Vardas141   Pavarde141  10        5         8         7         7         5         4         3         6         1         5         
Vardas142   Pavarde142  0         10        7         6         5         4         10        5         9         1         9         
Vardas143   Pavarde143  7         4         6         9         2         9         5         10        8         6         9         
Vardas144   Pavarde144  4         1         9         6         5         3         6         0         4         7         8         
Vardas145   Pavarde145  9         9         0         10        1         4         4         7         7         8         8         
Vardas146   Pavarde146  0         9         2         1         5         9         2         10        3         3         8         
Vardas147   Pavarde147  1         3         3         5         9         8         3         5         9         1         10        
Vardas148   Pavarde148  6         4         6         9         8         7         2         7         3         0         9         
Vardas149   Pavarde149  3         6         4         7         10        6         4         1         5         2         4         
Vardas150   Pavarde150  6         10        4         0         10        2         10        9         2         8         10        
Vardas151   Pavarde151  1         6         0         0         2         9         5         9         10        4         9         
Vardas152   Pavarde152  7         5         9         6         9         3         7         4         0         5         1         
Vardas153   Pavarde153  0         5         7         2         10        6         9         2         7         5         8         
Vardas154   Pavarde154  9         3         2         10        1         6         10        0         6         5         2         
Vardas155   Pavarde155  4         6         2         5         8         7         1         6         5         3         3         
